747,7456,-105,Jan  1,Tue
747,620,-65,Jan  1,Tue
747,7400,36,Jan  1,Tue
747,7468,-55,Jan  1,Tue
747,7404,-182,Jan  1,Tue
747,7216,-201,Jan  1,Tue
747,1172,-77,Jan  1,Tue
747,4724,-108,Jan  1,Tue
747,4508,-94,Jan  1,Tue
747,5140,-117,Jan  1,Tue
747,1445,-5,Jan  1,Tue
747,7401,-241,Jan  1,Tue
747,4717,-177,Jan  1,Tue
747,3665,-97,Jan  1,Tue
747,3669,-303,Jan  1,Tue
747,7453,5,Jan  1,Tue
747,7397,-35,Jan  1,Tue
747,7398,-22,Jan  1,Tue
747,7402,-115,Jan  1,Tue
747,2002,79,Jan  1,Tue
747,7410,-238,Jan  1,Tue
747,7399,23,Jan  1,Tue
747,2507,-127,Jan  1,Tue
747,1359,22,Jan  1,Tue
747,271,46,Jan  1,Tue
747,2499,-111,Jan  1,Tue
747,1935,-147,Jan  1,Tue
747,4319,-44,Jan  1,Tue
