747,7456,-6.260201,53.344318
747,3665,-6.243983,53.428101
747,7401,-6.240617,53.426517
747,3669,-6.235045,53.428631
747,7399,-6.227050,53.348381
747,2002,-6.269407,53.343739
747,2507,-6.227079,53.348190
747,2499,-6.247149,53.348000
747,1172,-6.255172,53.351791
747,4319,-6.292567,53.346931
747,7398,-6.239830,53.347549
747,7400,-6.239022,53.426693
747,271,-6.259133,53.346367
747,4724,-6.260755,53.350513
747,7404,-6.223813,53.354996
747,4508,-6.259915,53.352165
747,7453,-6.265867,53.346268
747,7397,-6.243228,53.347748
747,1359,-6.261344,53.344357
747,5140,-6.245507,53.351120
747,7410,-6.225725,53.412155
747,7216,-6.242425,53.347706
747,1935,-6.268323,53.343948
747,1445,-6.278273,53.345734
747,620,-6.251458,53.351196
747,7468,-6.260298,53.352089
747,7402,-6.254838,53.351330
747,4717,-6.252593,53.349796
